source_id,solution_id,ra,dec,wavelength,flux,flux_error,combined_transits,combined_ccds,deblended_ccds
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.4,1.0118151,0.0065739015,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.41,1.0160613,0.005954046,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.42,1.0187258,0.005528373,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.43,1.0186214,0.0053930175,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.44,1.0222466,0.006087192,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.45,1.0269127,0.006379444,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.46,1.0258203,0.0054695937,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.47,1.0184823,0.0049021854,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.48,1.0115663,0.0049192393,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.49,1.0139129,0.0055102743,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.5,1.0192814,0.00652573,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.51,1.0213665,0.0058581606,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.52,1.0182844,0.005932826,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.53,1.0137956,0.007160167,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.54,1.0138634,0.008976925,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.55,1.0176802,0.010245105,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.56,1.0136822,0.007444343,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.57,1.0049169,0.0056930594,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.58,0.99697584,0.0060602007,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.59,0.99735695,0.0070299995,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.6,1.0001447,0.006970538,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.61,1.0017676,0.0061820163,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.62,1.0011843,0.006337336,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.63,1.0003536,0.0059559997,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.64,1.0022378,0.006029645,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.65,1.0093299,0.0056574815,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.66,1.0146567,0.0052923267,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.67,1.0139652,0.006565751,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.68,1.0109432,0.0071609337,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.69,1.0084447,0.006736952,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.7,1.0049355,0.0063051474,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.71,1.0044022,0.005034479,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.72,1.0018975,0.005061212,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.73,0.99430496,0.0065965834,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.74,0.98223406,0.007282661,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.75,0.9760377,0.006238228,16,38,10
