,apogee_id,source_id,delta_chisq,f_imp,training_density1,training_density2,q_cannon,rv1_cannon,rv2_cannon,rvs_spec_sig_to_noise,radial_velocity_error,rv_nb_transits,single_fit_chisq,single_fit_training_density,single_fit_ca_resid,eq_width_849.8nm,eq_width_854.2nm,eq_width_866.2nm
48,2M14554342+1550242,1187078765332249344,36.671756357118284,0.0577537814828269,0.002057830262309604,1.0001305768713346e-07,0.5971437981149582,0.9053712491885122,-20.139799804102523,57.412357,0.30200288,19,2184.729765250977,0.002414647926650767,362.22743486994113,-0.0017280455457307116,-0.009161769237365787,-0.006076280549570854
49,2M19555203+4740415,2085712981675724544,12.492139220177023,0.034654805881909764,0.0011306562575639886,0.002483498510382828,0.8343134799948722,0.4147174020932456,-1.3067678307419326,133.2126,0.22526747,17,2020.9714453031588,0.002052321288829124,746.5709204518844,-0.0026855685161873543,-0.006703405039833438,-0.005220555210267494
50,2M10560970+4801421,831847002443020032,46.12044200013065,0.14694719746676432,0.0014018857055925844,0.00025834477417526885,0.908731478297061,-0.30398812700896477,-1.337961800984028e-07,186.34525,0.22766389,15,2038.8393808510264,0.0032979489889352286,1156.926826527341,0.004819611917235765,0.009927766596698261,0.004983483108063122
51,2M11322439+0438403,3812995141309523328,32.642704625106944,0.07983025419895635,0.0005357484114839629,0.0004730126863383582,0.709517323071216,2.245522809603496,-4.464106185412949,54.24732,0.49473715,14,2170.1537616160153,0.0012335166043098375,362.68250578355503,0.0013881838328471138,0.0067070334536608964,0.006858316177546684
52,2M12161473+5717359,1575319379116938240,22.355663928173726,0.03761163969260405,0.0002626106470866492,0.0007220828347878891,0.7936563260425199,-2.317315345323723,5.9272532121429276,80.92464,0.4159511,25,2179.296448539481,0.0003919055886888484,311.96882236407305,-0.001246320005871221,-0.0035769639316095797,-0.002246978297236401
53,2M12242190+1301404,3908727935112893824,3359.8953394140826,0.47201552083281856,5.9142886601379014e-05,2.1080842000059733e-06,0.9674358064541237,-3.686324481883117,3.0327114152336394,69.85139,0.2665964,11,5956.463073791283,1.0000039461994937e-07,962.102007010447,0.0015869141249232415,0.00974976598791043,0.006716980778647227
54,2M14020034+5328427,1513122926911884416,14.086880203838518,0.0325782650166233,0.0007328697224984822,0.002203074290034586,0.875260802574025,0.8413996502281229,-1.028665288066313,119.11742,0.21107483,13,2022.598885886693,0.0011300209028124563,464.46434608069194,0.0026834864533533853,0.004242293544244748,-0.0033123365980423135
55,2M03425511+2429350,68310561489710336,6.43975386277566,0.035686448047229744,0.00011089263720150499,0.0002689193900190833,0.9608508012700693,-1.2738046592589745,1.5800370287740662,129.42218,0.53972465,11,1827.7713910141615,0.0002531361505853381,1202.6445480494222,0.0059519723354478846,0.009296575817775302,0.005949940333309294
56,2M15180845+3511555,1290913551084011776,26.07423603803545,0.05173731200818076,0.0013844849632918895,3.1561271367966196e-05,0.6630473463910411,1.0126755124408282,0.5563410639521228,55.96985,0.4756998,32,2188.772470632209,0.0009962952501956844,347.98660620564294,-0.0007583660732306406,-0.012485822380758363,-0.004710987903908719
57,2M16070443-1110109,4343284307991325440,26.799393289260024,0.0498142119486357,0.0006629107430513189,0.0006757280272429023,0.9445763677760904,-2.800564625214304,2.737344447918203,93.80294,0.24776094,12,2283.991531523288,0.002356515692376507,461.5073053362417,0.007412123120098287,0.004831676007322817,0.003143541332090008
